event_dt,campaign_id,channel,contact_id,persona,subject,opened,clicked,unsubscribed
2025-08-02,CMP-01,email,775,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,292,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,815,Value Seeker,Because you’re into smarter decisions,0,0,0
2025-08-02,CMP-01,email,731,Value Seeker,Smarter faster onboarding starts here,1,0,0
2025-08-02,CMP-01,email,793,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,94,Value Seeker,Because you’re into time-saving workflows,0,0,0
2025-08-02,CMP-01,email,1110,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,1146,Value Seeker,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,614,Busy Buyer,Unlock your exclusive savings today,0,0,0
2025-08-02,CMP-01,email,249,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,31,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,302,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,834,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,893,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,342,Skeptical Researcher,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,638,Busy Buyer,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,1143,Busy Buyer,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,363,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,987,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,328,Skeptical Researcher,Unlock your faster onboarding today,1,0,0
2025-08-02,CMP-01,email,220,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,305,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,985,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,749,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,1177,Value Seeker,Smarter insider access starts here,0,0,0
2025-08-02,CMP-01,email,276,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,645,Busy Buyer,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,73,Value Seeker,Smarter smarter decisions starts here,0,0,0
2025-08-02,CMP-01,email,518,Value Seeker,Unlock your exclusive savings today,0,0,0
2025-08-02,CMP-01,email,727,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,459,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,952,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,601,Loyal Advocate,Unlock your smarter decisions today,1,0,0
2025-08-02,CMP-01,email,559,Loyal Advocate,Smarter exclusive savings starts here,0,0,0
2025-08-02,CMP-01,email,364,Busy Buyer,Because you’re into smarter decisions,0,0,0
2025-08-02,CMP-01,email,218,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,248,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,769,Value Seeker,Unlock your insider access today,0,0,0
2025-08-02,CMP-01,email,490,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,626,Busy Buyer,Unlock your insider access today,0,0,0
2025-08-02,CMP-01,email,400,Loyal Advocate,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,257,Value Seeker,Smarter insider access starts here,0,0,0
2025-08-02,CMP-01,email,144,Loyal Advocate,Because you’re into time-saving workflows,0,0,0
2025-08-02,CMP-01,email,818,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,711,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,1082,Loyal Advocate,Smarter exclusive savings starts here,0,0,0
2025-08-02,CMP-01,email,261,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,72,Skeptical Researcher,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,1072,Loyal Advocate,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,1181,Busy Buyer,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,692,Loyal Advocate,"Loyal Advocate, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,977,Loyal Advocate,"Loyal Advocate, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,346,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,1141,Value Seeker,Unlock your exclusive savings today,1,0,0
2025-08-02,CMP-01,email,567,Value Seeker,Because you’re into exclusive savings,1,0,0
2025-08-02,CMP-01,email,719,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,705,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,680,Value Seeker,Unlock your time-saving workflows today,0,0,0
2025-08-02,CMP-01,email,456,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,320,Skeptical Researcher,Because you’re into exclusive savings,0,0,0
2025-08-02,CMP-01,email,940,Busy Buyer,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,553,Loyal Advocate,Smarter time-saving workflows starts here,0,0,0
2025-08-02,CMP-01,email,1092,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,264,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,341,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,656,Loyal Advocate,Because you’re into insider access,1,0,0
2025-08-02,CMP-01,email,1186,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,637,Loyal Advocate,"Loyal Advocate, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,186,Busy Buyer,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,1039,Busy Buyer,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,155,Busy Buyer,"Busy Buyer, your weekly insider brief",1,0,0
2025-08-02,CMP-01,email,763,Loyal Advocate,"Loyal Advocate, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,149,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,174,Skeptical Researcher,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,411,Loyal Advocate,A quick tip for Loyal Advocate,1,0,0
2025-08-02,CMP-01,email,566,Value Seeker,Smarter exclusive savings starts here,1,1,0
2025-08-02,CMP-01,email,629,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,536,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,784,Value Seeker,Because you’re into exclusive savings,0,0,0
2025-08-02,CMP-01,email,860,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,52,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,722,Loyal Advocate,A quick tip for Loyal Advocate,1,0,0
2025-08-02,CMP-01,email,600,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,892,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,138,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,672,Skeptical Researcher,Smarter time-saving workflows starts here,0,0,0
2025-08-02,CMP-01,email,376,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,269,Skeptical Researcher,Smarter faster onboarding starts here,0,0,0
2025-08-02,CMP-01,email,519,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,93,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,332,Busy Buyer,Unlock your time-saving workflows today,0,0,0
2025-08-02,CMP-01,email,764,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,631,Busy Buyer,"Busy Buyer, your weekly insider brief",1,0,0
2025-08-02,CMP-01,email,516,Loyal Advocate,Because you’re into smarter decisions,0,0,0
2025-08-02,CMP-01,email,152,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,483,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,1164,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,355,Skeptical Researcher,Smarter insider access starts here,0,0,0
2025-08-02,CMP-01,email,241,Skeptical Researcher,Unlock your exclusive savings today,1,0,0
2025-08-02,CMP-01,email,875,Busy Buyer,Unlock your time-saving workflows today,1,0,0
2025-08-02,CMP-01,email,810,Busy Buyer,Because you’re into exclusive savings,1,0,0
2025-08-02,CMP-01,email,141,Busy Buyer,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,1132,Busy Buyer,A quick tip for Busy Buyer,1,0,0
2025-08-02,CMP-01,email,579,Skeptical Researcher,"Skeptical Researcher, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,917,Loyal Advocate,Smarter faster onboarding starts here,1,0,0
2025-08-02,CMP-01,email,473,Value Seeker,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,56,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,903,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,310,Skeptical Researcher,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,1134,Value Seeker,Smarter faster onboarding starts here,0,0,0
2025-08-02,CMP-01,email,324,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,259,Busy Buyer,Unlock your exclusive savings today,0,0,0
2025-08-02,CMP-01,email,828,Skeptical Researcher,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,66,Busy Buyer,Unlock your insider access today,0,0,0
2025-08-02,CMP-01,email,563,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,909,Busy Buyer,Because you’re into exclusive savings,0,0,0
2025-08-02,CMP-01,email,108,Busy Buyer,Smarter insider access starts here,0,0,0
2025-08-02,CMP-01,email,1105,Loyal Advocate,Because you’re into smarter decisions,0,0,0
2025-08-02,CMP-01,email,450,Busy Buyer,Unlock your time-saving workflows today,0,0,0
2025-08-02,CMP-01,email,922,Value Seeker,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,851,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,178,Busy Buyer,Unlock your insider access today,1,0,0
2025-08-02,CMP-01,email,813,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,1031,Busy Buyer,Because you’re into faster onboarding,1,0,0
2025-08-02,CMP-01,email,1108,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,351,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,1175,Value Seeker,Because you’re into smarter decisions,0,0,0
2025-08-02,CMP-01,email,1,Busy Buyer,Unlock your smarter decisions today,0,0,0
2025-08-02,CMP-01,email,217,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,1126,Busy Buyer,Smarter insider access starts here,0,0,0
2025-08-02,CMP-01,email,463,Skeptical Researcher,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,122,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,753,Value Seeker,Smarter smarter decisions starts here,0,0,0
2025-08-02,CMP-01,email,961,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,327,Value Seeker,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,515,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,1070,Value Seeker,Because you’re into faster onboarding,1,0,0
2025-08-02,CMP-01,email,1178,Skeptical Researcher,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,326,Busy Buyer,Because you’re into exclusive savings,0,0,0
2025-08-02,CMP-01,email,1170,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,418,Loyal Advocate,"Loyal Advocate, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,827,Busy Buyer,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,74,Value Seeker,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,314,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,1159,Loyal Advocate,"Loyal Advocate, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,498,Value Seeker,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,119,Busy Buyer,Because you’re into smarter decisions,0,0,0
2025-08-02,CMP-01,email,904,Value Seeker,Unlock your insider access today,0,0,0
2025-08-02,CMP-01,email,713,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,688,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,318,Busy Buyer,A quick tip for Busy Buyer,1,0,0
2025-08-02,CMP-01,email,879,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,348,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,826,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,534,Value Seeker,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,225,Value Seeker,Unlock your insider access today,0,0,0
2025-08-02,CMP-01,email,87,Loyal Advocate,"Loyal Advocate, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,869,Busy Buyer,Unlock your exclusive savings today,0,0,0
2025-08-02,CMP-01,email,593,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,912,Value Seeker,Because you’re into faster onboarding,0,0,0
2025-08-02,CMP-01,email,1148,Loyal Advocate,Unlock your insider access today,1,0,0
2025-08-02,CMP-01,email,374,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,650,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,932,Loyal Advocate,Smarter insider access starts here,0,0,0
2025-08-02,CMP-01,email,1138,Skeptical Researcher,Smarter faster onboarding starts here,1,0,0
2025-08-02,CMP-01,email,1147,Busy Buyer,Smarter insider access starts here,0,0,0
2025-08-02,CMP-01,email,838,Busy Buyer,"Busy Buyer, your weekly insider brief",1,0,0
2025-08-02,CMP-01,email,908,Busy Buyer,Unlock your smarter decisions today,0,0,0
2025-08-02,CMP-01,email,720,Value Seeker,Smarter time-saving workflows starts here,0,0,0
2025-08-02,CMP-01,email,649,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,1084,Skeptical Researcher,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,647,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,163,Value Seeker,Smarter smarter decisions starts here,0,0,0
2025-08-02,CMP-01,email,514,Loyal Advocate,Unlock your faster onboarding today,0,0,0
2025-08-02,CMP-01,email,964,Value Seeker,"Value Seeker, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,347,Busy Buyer,Unlock your smarter decisions today,0,0,0
2025-08-02,CMP-01,email,1053,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,280,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,148,Value Seeker,"Value Seeker, your weekly insider brief",1,0,0
2025-08-02,CMP-01,email,301,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,608,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,166,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,181,Loyal Advocate,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,375,Value Seeker,Because you’re into smarter decisions,1,0,0
2025-08-02,CMP-01,email,844,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,755,Loyal Advocate,A quick tip for Loyal Advocate,0,0,0
2025-08-02,CMP-01,email,541,Value Seeker,Smarter faster onboarding starts here,0,0,0
2025-08-02,CMP-01,email,169,Busy Buyer,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,397,Busy Buyer,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,350,Loyal Advocate,Smarter time-saving workflows starts here,0,0,0
2025-08-02,CMP-01,email,806,Value Seeker,"Value Seeker, your weekly insider brief",1,0,0
2025-08-02,CMP-01,email,1111,Loyal Advocate,Smarter smarter decisions starts here,0,0,0
2025-08-02,CMP-01,email,91,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,624,Skeptical Researcher,Unlock your time-saving workflows today,0,0,0
2025-08-02,CMP-01,email,40,Value Seeker,Unlock your time-saving workflows today,0,0,0
2025-08-02,CMP-01,email,839,Busy Buyer,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,1041,Skeptical Researcher,Because you’re into faster onboarding,1,0,0
2025-08-02,CMP-01,email,120,Value Seeker,Unlock your insider access today,0,0,0
2025-08-02,CMP-01,email,1116,Busy Buyer,A quick tip for Busy Buyer,1,0,0
2025-08-02,CMP-01,email,493,Skeptical Researcher,Smarter exclusive savings starts here,0,0,0
2025-08-02,CMP-01,email,13,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,970,Loyal Advocate,Unlock your time-saving workflows today,0,0,0
2025-08-02,CMP-01,email,1112,Busy Buyer,Smarter exclusive savings starts here,0,0,0
2025-08-02,CMP-01,email,1005,Value Seeker,Unlock your exclusive savings today,0,0,0
2025-08-02,CMP-01,email,442,Busy Buyer,Because you’re into insider access,0,0,0
2025-08-02,CMP-01,email,850,Busy Buyer,Unlock your exclusive savings today,1,0,0
2025-08-02,CMP-01,email,1079,Value Seeker,Smarter faster onboarding starts here,0,0,0
2025-08-02,CMP-01,email,439,Value Seeker,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,107,Loyal Advocate,Unlock your smarter decisions today,0,0,0
2025-08-02,CMP-01,email,918,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,890,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,902,Busy Buyer,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,173,Loyal Advocate,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,597,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,395,Value Seeker,Unlock your exclusive savings today,1,0,0
2025-08-02,CMP-01,email,913,Busy Buyer,Unlock your time-saving workflows today,0,0,0
2025-08-02,CMP-01,email,441,Loyal Advocate,Smarter exclusive savings starts here,0,0,0
2025-08-02,CMP-01,email,532,Value Seeker,We picked these just for you,1,0,0
2025-08-02,CMP-01,email,1127,Loyal Advocate,Smarter faster onboarding starts here,0,0,0
2025-08-02,CMP-01,email,447,Busy Buyer,A quick tip for Busy Buyer,0,0,0
2025-08-02,CMP-01,email,1162,Value Seeker,Unlock your smarter decisions today,0,0,0
2025-08-02,CMP-01,email,677,Busy Buyer,"Busy Buyer, your weekly insider brief",0,0,0
2025-08-02,CMP-01,email,581,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,543,Loyal Advocate,Because you’re into smarter decisions,0,0,0
2025-08-02,CMP-01,email,1135,Busy Buyer,Because you’re into insider access,1,0,0
2025-08-02,CMP-01,email,116,Value Seeker,Unlock your smarter decisions today,0,0,0
2025-08-02,CMP-01,email,979,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,865,Value Seeker,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,523,Value Seeker,A quick tip for Value Seeker,0,0,0
2025-08-02,CMP-01,email,797,Value Seeker,A quick tip for Value Seeker,1,0,0
2025-08-02,CMP-01,email,837,Loyal Advocate,We picked these just for you,0,0,0
2025-08-02,CMP-01,email,654,Skeptical Researcher,A quick tip for Skeptical Researcher,0,0,0
2025-08-02,CMP-01,email,535,Busy Buyer,Smarter exclusive savings starts here,0,0,0
